lat;lon;speed;accel_lon;accel_trans;accel_down;ts
57.718583791;11.958626726;0.1636939;1.228876;0.06312195;0.02675516;1663765141861423
57.718583437;11.958626565;0.180266;1.359777;0.06099362;-0.04870243;1663765141961382
57.718583228;11.958626595;0.2757949;1.517064;0.03223082;-0.00139801;1663765142061455
57.718583073;11.958626854;0.420105;1.74601;-0.03696721;-0.01785014;1663765142161415
57.718582881;11.958627344;0.4979442;-0.00428233;0.006347509;0.192186;1663765142261577
57.718582691;11.958627833;0.4282978;-1.095056;0.007809574;0.1124515;1663765142361409
57.718582525;11.958628176;0.3552581;-0.5004237;-0.08021932;-0.03283325;1663765142461418
57.718582366;11.95862847;0.3670148;0.279272;0.006514047;0.005746147;1663765142561417
57.718582196;11.95862882;0.4024151;0.1537958;0.02155337;0.2204199;1663765142661425
57.71858202;11.9586292;0.3989752;-0.2362332;-0.01561229;0.1162423;1663765142761412
57.718581848;11.958629554;0.379561;-0.169322;-0.08044669;-0.08181463;1663765142861410
57.718581678;11.958629896;0.3828918;0.001529866;-0.04539571;-0.003520616;1663765142961405
57.718581615;11.958630255;0.3873683;-0.1232151;-0.02406951;0.08737726;1663765143061520
57.71858161;11.958630609;0.3775102;-0.1677981;-0.00977489;-0.0108153;1663765143161438
57.718581605;11.958630952;0.3727626;-0.04427256;-0.06095563;-0.09010552;1663765143261464
57.7185816;11.958631298;0.3753729;-0.07650442;-0.05948607;0.03602936;1663765143361425
57.718581595;11.958631644;0.3710179;-0.07339416;-0.01340235;-0.03878538;1663765143461397
57.71858159;11.958631989;0.3696388;0.08400219;-0.01730247;-0.1498668;1663765143561413
57.718581584;11.958632332;0.362105;-0.1501123;0.008647165;-0.1241545;1663765143661401
57.718581586;11.958632628;0.3089809;-0.7592685;-0.02790258;0.0488738;1663765143761465
57.718581606;11.958632814;0.2398491;-0.8284427;-0.05001992;-0.01175962;1663765143861443
57.718581645;11.958632876;0.1809005;-0.7269244;-0.03388493;-0.1388033;1663765143961413
57.718581717;11.958632774;0.1410048;-0.6871105;-0.01147031;-0.1821406;1663765144061459
57.718581813;11.958632539;0.1293929;-0.7133637;0.01271213;-0.04578022;1663765144161424
57.718581927;11.95863219;0.1541008;-1.008185;-0.04775611;0.2212484;1663765144261566
57.718582066;11.958631685;0.2422015;-1.319318;0.03734891;-0.06607772;1663765144361451
57.71858224;11.958630959;0.3939404;-1.864825;0.02602994;0.1524733;1663765144461411
57.718582465;11.958629922;0.6143637;-2.518406;-0.006945367;0.2748767;1663765144561393
57.718582758;11.958628459;0.9157511;-3.261659;0.04789109;0.4132889;1663765144661406
57.718583138;11.958626463;1.268093;-3.572552;-0.01662811;0.03753592;1663765144761425
57.718583613;11.958623888;1.63238;-3.632296;-0.02185302;0.06139912;1663765144861421
57.718584181;11.958620732;1.991115;-3.438259;-0.06599182;0.2263001;1663765144961435
57.718584844;11.958616942;2.347171;-3.497037;-0.1806262;0.4433412;1663765145061547
57.718585603;11.958612552;2.698368;-3.376173;-0.06853533;0.4940633;1663765145161463
57.718586447;11.958607613;3.031076;-3.081048;0.05540922;0.3204135;1663765145261423
