lat;lon;speed;accel_lon;accel_trans;accel_down;ts
57.71876848;11.958180557;12.09906;-3.451104;-0.004333396;-0.05850354;1646666972559597
57.71877168;11.958160628;12.44014;-3.603011;0.07917254;0.5246877;1646666972659535
57.718774964;11.958140143;12.7871;-3.763154;0.259775;0.2150612;1646666972759558
57.718778339;11.9581191;13.13505;-3.017889;-0.3822365;-0.05177135;1646666972859561
57.718781807;11.958097497;13.49401;-3.762336;-0.3173455;0.08675136;1646666972959562
57.718785366;11.95807532;13.84699;-3.424282;-0.4803247;0.00608186;1646666973059550
57.718789018;11.958052578;14.20109;-3.820311;0.2570278;0.4235839;1646666973159565
57.718792753;11.958029282;14.54499;-3.510304;-0.1756959;0.2579107;1646666973259563
57.718796568;11.958005464;14.83735;-1.83516;-0.3743653;-0.4324772;1646666973359585
57.718800434;11.957981335;14.95;-0.9106821;-0.1248212;-0.492178;1646666973459860
57.718804312;11.957957105;14.97377;-0.3150115;0.5898017;-0.006465386;1646666973559567
57.718808193;11.957932845;14.99436;0.1183295;0.06202138;-0.3862569;1646666973659596
57.718812073;11.95790856;14.99671;-0.1340935;-0.006375135;-0.7077798;1646666973759607
57.718815953;11.957884312;14.96226;0.01525776;0.1633428;0.4263327;1646666973859615
57.718819831;11.957860132;14.92086;0.4557951;-0.2816576;0.1476112;1646666973959603
57.718823705;11.95783602;14.88439;0.3528767;-0.004788158;0.6195046;1646666974059629
57.71882757;11.957811954;14.86034;0.2522542;0.007600792;0.8042691;1646666974159609
57.71883143;11.957787925;14.83753;0.2531892;-0.3400486;0.1098137;1646666974259591
57.718835283;11.957763931;14.82759;-0.004694449;0.2599833;0.8194331;1646666974359598
57.718839134;11.957739957;14.81974;0.164867;-0.0761297;0.5299453;1646666974459865
57.718842977;11.957715981;14.82851;-0.2305228;0.2824065;0.7586598;1646666974559630
57.718846807;11.957691982;14.83877;-0.1858623;0.4100227;0.1011159;1646666974659622
57.718850606;11.957667934;14.86809;-0.3710477;0.2360972;0.4437364;1646666974759644
57.718854372;11.957643813;14.89908;0.02501358;0.7984473;0.06624141;1646666974859623
57.718858063;11.957619607;14.92131;-0.5108505;1.677667;0.6179661;1646666974959631
57.718861665;11.957595318;14.94206;0.1085282;1.125309;-0.3724967;1646666975059645
57.718865158;11.957570944;14.95944;-0.3562476;1.467238;-0.4052029;1646666975159654
57.718868542;11.957546484;14.96226;-0.3174976;1.381278;0.3030359;1646666975259647
57.718871832;11.957521893;14.93873;0.1849024;1.345451;-0.3434957;1646666975359613
57.718875008;11.957497297;14.91345;0.2464613;0.8445239;-0.4914056;1646666975459914
57.718878068;11.957472704;14.88116;0.02920037;1.139933;-0.003864366;1646666975559689
57.718881006;11.957448123;14.84339;0.4680536;1.240712;-0.1428481;1646666975659614
57.718883826;11.957423566;14.80322;0.04658295;2.308137;0.9415861;1646666975759660
57.718886524;11.957399039;14.75903;0.6625435;1.052544;0.2273152;1646666975859621
57.718889111;11.957374543;14.71571;0.5102764;1.037638;-0.4835445;1646666975959660
57.718891592;11.957350089;14.67064;0.5954812;1.424391;0.1353153;1646666976059630
57.718893975;11.957325682;14.62799;0.4539193;0.8979195;0.3921179;1646666976159698
57.718896308;11.95730134;14.57593;0.8292239;0.6438921;-0.04261041;1646666976259671
57.718898661;11.957277112;14.5294;0.7544831;-0.3869103;-0.05158398;1646666976359663
57.718901037;11.957252971;14.48762;0.2994671;-0.5908808;0.9098758;1646666976459981
57.718903483;11.957228927;14.44354;0.3705627;-1.036196;0.0548248;1646666976559680
57.71890604;11.957205001;14.39945;0.3497314;-1.740912;-0.05135961;1646666976659729
57.718908716;11.957181193;14.35796;0.4985257;-1.60617;0.231067;1646666976759704
57.71891152;11.957157506;14.31588;0.3839555;-1.352291;-0.2560732;1646666976859671
57.718914433;11.957133946;14.26904;0.5418648;-1.067671;0.3586105;1646666976959682
57.718917446;11.957110496;14.23625;0.6414422;-1.325849;0.007768232;1646666977059697
57.718920554;11.957087147;14.20322;0.4805416;-1.07417;0.2707776;1646666977159695
57.718923755;11.957063904;14.17267;0.4316575;-1.222375;0.09433893;1646666977259677
57.718927037;11.957040778;14.1393;0.3164738;-1.285191;-0.4002273;1646666977359689
57.718930411;11.957017757;14.10443;0.409774;-1.401734;-0.2500961;1646666977460035
57.718933865;11.956994842;14.06622;0.2646297;-0.7061816;-0.4075991;1646666977559725
57.718937387;11.956972038;14.01391;1.028825;-0.7606175;-0.6757577;1646666977659746
57.718940943;11.956949387;13.91029;1.338281;-0.4698768;-0.0878946;1646666977759694
57.718944499;11.95692699;13.72151;2.13996;-0.297157;-0.4838912;1646666977859697
57.71894803;11.956904968;13.48005;2.489375;-0.05330778;0.04800595;1646666977959698
57.718951519;11.956883352;13.23836;2.371456;-0.4323699;0.1567571;1646666978059701
57.718954977;11.956862142;12.99004;2.452814;-0.108067;0.1729076;1646666978159748
57.718958391;11.956841367;12.72612;2.731113;-0.1976832;0.03679014;1646666978259707
