sampleTimeStamp.seconds;sampleTimeStamp.microseconds;lat;lon;speed;accel_lon;accel_trans;accel_down
1646666465;142586;57.719198994;11.956857482;0.00327282;-0.04186667;0.08282483;0.1138835
1646666465;242643;57.719198994;11.95685748;0.002600376;-0.1118457;0.05142685;0.1351947
1646666465;342519;57.719198993;11.956857479;0.002791196;-0.07495821;0.04229973;0.1219568
1646666465;442787;57.719198992;11.956857477;0.002105957;-0.07120173;0.003313315;0.07858911
1646666465;542580;57.71919899;11.956857476;0.003485198;-0.04372355;-0.03197099;0.03550279
1646666465;642530;57.719198989;11.956857475;0.002053549;0.01059576;0.01668293;-0.02874622
1646666465;742586;57.719198987;11.956857474;0.002059075;0.03797422;0.01012001;-0.03485046
1646666465;842594;57.719198986;11.956857472;0.002108457;0.05931075;-0.05052964;-0.1409026
1646666465;942660;57.719198984;11.95685747;0.003418644;0.1196587;-0.08195541;-0.1675891
1646666466;42634;57.719198983;11.956857469;0.001474427;0.07797003;-0.05429343;-0.1036789
1646666466;142552;57.719198981;11.956857467;0.00300157;0.053927;0.01240343;-0.07968252
1646666466;242616;57.71919898;11.956857465;0.002132324;0.03067167;0.04725536;0.03513438
1646666466;342639;57.719198982;11.956857464;0.004302687;-0.05211997;0.02483111;0.0800679
1646666466;442845;57.719198984;11.956857464;0.004180874;-0.06357857;0.01704055;0.09351224
1646666466;542653;57.719198986;11.956857463;0.004905966;-0.09521278;0.05607283;0.136542
1646666466;642599;57.719198988;11.956857463;0.005101579;-0.09108781;0.06440645;0.1230393
1646666466;742593;57.71919899;11.956857462;0.002441066;-0.05380604;0.01120011;0.05483535
1646666466;842595;57.719198992;11.956857462;0.003080481;-0.02268078;0.00101051;-0.006107951
1646666466;942613;57.719198994;11.956857461;0.001829685;0.02986217;-0.04097142;-0.08356325
1646666467;42653;57.719198996;11.95685746;0.001451839;0.06592689;-0.06377424;-0.1257254
1646666467;142682;57.719198998;11.956857459;0.001751966;0.0999376;-0.08038712;-0.1517372
1646666467;242588;57.719199001;11.956857459;0.001670868;0.08378014;-0.03185458;-0.1120317
1646666467;342588;57.719199004;11.956857461;0.001585727;0.04542698;0.006115748;-0.04888536
1646666467;442783;57.719199008;11.956857464;0.001717022;0.02479782;0.004894697;-0.03496344
1646666467;542571;57.719199011;11.956857467;0.003232094;-0.01096729;-0.03791099;0.03470278
1646666467;642579;57.719199015;11.95685747;0.002324276;-0.07287205;0.03094063;0.1303833
1646666467;742626;57.719199018;11.956857473;0.002479377;-0.09259609;0.08472025;0.1880949
1646666467;842574;57.719199022;11.956857476;0.002811647;-0.09211016;0.07207568;0.1142154
1646666467;942599;57.719199025;11.956857479;0.002450743;-0.0630501;-4.564127e-05;0.006926458
1646666468;42634;57.719199029;11.956857482;0.00170025;-0.01947176;-0.04980839;-0.03872137
1646666468;142631;57.719199033;11.956857485;0.001434902;0.05275627;-0.04435012;-0.09150112
1646666468;242581;57.719199035;11.956857486;0.002494843;0.0980911;-0.0403998;-0.0984836
1646666468;342625;57.719199034;11.956857484;0.00393982;0.1035436;-0.04606709;-0.1626561
1646666468;442815;57.719199033;11.956857482;0.002052861;0.0789401;-0.01927476;-0.1187139
1646666468;542617;57.719199032;11.956857479;0.002680828;0.07162838;-0.02293455;-0.07787015
1646666468;642579;57.719199031;11.956857476;0.002956708;0.01851075;-0.01298292;-0.002754624
1646666468;742639;57.71919903;11.956857473;0.003311331;-0.017603;0.02133816;0.0360952
1646666468;842592;57.719199029;11.956857469;0.004458247;-0.06211245;0.0665049;0.1471788
1646666468;942693;57.719199028;11.956857466;0.003887724;-0.08939962;0.08685052;0.1554608
1646666469;42757;57.719199027;11.956857462;0.003762834;-0.08194312;0.03041677;0.0971614
1646666469;142747;57.719199026;11.956857458;0.003980103;-0.06320068;-0.007526882;0.05457661
1646666469;242633;57.719199024;11.956857454;0.00291459;-0.04775758;0.001768437;0.01645382
1646666469;342650;57.719199023;11.95685745;0.002954401;-0.008442862;-0.001276671;-0.01332865
1646666469;442858;57.719199021;11.956857446;0.002833562;0.05851028;0.0002295985;-0.07734066
1646666469;542643;57.71919902;11.956857442;0.002677795;0.08896505;-0.07532848;-0.1608778
1646666469;642642;57.719199018;11.956857437;0.004040366;0.08918992;-0.0753212;-0.1555487
1646666469;742658;57.719199017;11.956857431;0.003659476;0.09017065;-0.03065857;-0.08855673
1646666469;842649;57.719199015;11.956857426;0.004199742;0.07113283;0.01523545;-0.06212902
