lat;lon;speed;accel_lon;accel_trans;accel_down;ts
57.718762267;11.958210184;8.708391;-2.318571;-0.1371714;-0.2402175;1646666852005553
57.718767242;11.958181242;9.266851;-2.722501;-0.2055943;-0.1052112;1646666852205619
57.718772505;11.958150526;9.814703;-2.797276;-0.006471565;0.2915407;1646666852405545
57.718778063;11.958118041;10.37009;-2.675645;-0.2072226;0.01691557;1646666852605509
57.718783938;11.958083836;10.88018;-2.233728;0.2833841;0.947163;1646666852805575
57.718790062;11.958048167;11.28041;-1.198408;0.1973725;-0.09877342;1646666853005585
57.718796299;11.958011665;11.38214;0.04611171;-0.05042728;-0.3017927;1646666853205579
57.718802589;11.95797505;11.40392;0.1697097;0.1522288;-0.2644821;1646666853405529
57.718808896;11.957938477;11.37558;0.03568828;-0.03576932;0.193156;1646666853605651
57.718815178;11.957902022;11.32817;0.2452023;0.08461495;-0.1535518;1646666853805587
57.71882144;11.957865699;11.30785;-0.1413122;-0.249966;0.2338734;1646666854005605
57.718827695;11.957829357;11.33446;-0.2509166;0.249221;0.8420916;1646666854205642
57.718833954;11.957792876;11.31432;0.2111975;0.2049626;-0.08757873;1646666854405585
57.718840181;11.95775651;11.27672;0.2103336;-0.139325;0.2527699;1646666854605585
57.718846391;11.95772025;11.24187;0.4470578;-0.1029039;0.1733081;1646666854805729
57.718852569;11.957684158;11.18725;0.2528447;-0.241066;-0.02575096;1646666855005652
57.718858719;11.957648192;11.15788;-0.02746742;0.3454199;0.6524609;1646666855205646
57.718864819;11.957612317;11.11606;0.2107504;0.09348592;0.2098725;1646666855405639
57.718870834;11.957576519;11.07902;0.4424847;0.4637209;-0.4882004;1646666855605641
57.718876613;11.957540746;11.03595;0.1589303;0.9026675;0.2114355;1646666855805680
57.718881941;11.957504897;10.98213;0.3142129;1.750325;-0.1295758;1646666856005692
57.718886653;11.957468954;10.92982;0.1990093;1.988155;-0.02186967;1646666856205675
57.718890811;11.957432965;10.88768;0.2587776;1.104172;-0.06100943;1646666856405620
57.718894584;11.957396988;10.85551;0.3586912;0.7087714;-0.2168257;1646666856605698
57.718898081;11.957361031;10.82224;0.2575055;0.6274239;-0.1606009;1646666856805734
57.71890132;11.957325094;10.79588;0.06316364;0.3533673;-0.02169661;1646666857005716
57.718904328;11.957289155;10.77961;0.1970132;0.4447913;-0.0908668;1646666857205733
57.718907322;11.957253258;10.78116;0.03243598;0.4893583;0.2806428;1646666857405700
57.718910217;11.95721732;10.79405;-0.08249096;0.2362167;-0.05007926;1646666857605682
57.718913012;11.957181294;10.81423;-0.161144;-0.09744425;0.2420448;1646666857805767
57.718915784;11.957145213;10.82149;0.06768723;0.1036518;-0.3442226;1646666858005728
57.718918536;11.957109113;10.83567;0.02531948;0.137413;0.4636438;1646666858205765
57.718921268;11.957073024;10.84935;-0.1157889;-0.2333722;0.1797991;1646666858405731
57.718924179;11.95703694;10.86634;0.01727074;-0.9082713;-0.3454665;1646666858605735
57.718927496;11.957000925;10.87811;0.03772398;-1.425109;-0.2895612;1646666858805785
57.718931353;11.956965071;10.87796;0.07671246;-1.354502;-0.07526873;1646666859005798
57.71893574;11.95692945;10.86443;0.009147959;-1.320795;0.2460695;1646666859205854
57.718940501;11.95689418;10.84032;-0.07590595;-1.131252;0.1984621;1646666859405732
57.718945632;11.956859214;10.80622;0.2096995;-0.9918224;0.04447778;1646666859605769
57.718951026;11.95682451;10.76971;0.03959192;-0.6307613;0.2108931;1646666859805862
57.718956579;11.956790018;10.72982;0.2151159;-0.3738919;0.1046401;1646666860005800
57.718962253;11.95675575;10.68279;0.1655755;-0.4540169;0.3363612;1646666860205837
57.718967861;11.956721691;10.59749;0.9700847;-0.2241812;-0.2837751;1646666860405789
57.718973416;11.956688375;10.22295;2.513657;-0.1834353;0.05523552;1646666860605783
57.718978789;11.956656651;9.681394;2.836798;-0.0656375;-0.08207377;1646666860805851
57.71898391;11.956626681;9.135505;2.554147;-0.1677767;0.173811;1646666861005861
57.718988772;11.956598533;8.556515;3.043422;-0.3537199;-0.2782121;1646666861205885
57.718993453;11.956572369;7.950505;2.919615;0.005725427;0.0110773;1646666861405815
57.718997849;11.956548191;7.326688;3.112132;-0.08298326;-0.344835;1646666861605833
57.719001935;11.956526012;6.715224;2.979877;0.00914516;0.007057756;1646666861805897
57.719005722;11.956505783;6.120799;2.977494;-0.2650536;-0.2623989;1646666862005936
