1663765087;546491;1663765087;546514;1663765087;546442;-1.292;-0.3145;9.809
1663765087;596552;1663765087;596575;1663765087;596502;-1.3345;-0.3655;9.6645
1663765087;647088;1663765087;647113;1663765087;647045;-1.513;-0.544;9.486
1663765087;696352;1663765087;696376;1663765087;696303;-1.513;-0.68;9.5625
1663765087;746763;1663765087;746787;1663765087;746714;-1.5555;-0.7225;9.571
1663765087;796862;1663765087;796886;1663765087;796819;-1.683;-0.833;9.639
1663765087;846572;1663765087;846610;1663765087;846495;-1.7935;-0.7225;9.5625
1663765087;896579;1663765087;896603;1663765087;896530;-1.7935;-0.629;9.418
1663765087;947126;1663765087;947151;1663765087;947076;-1.6235;-0.4675;9.418
1663765087;996373;1663765087;996403;1663765087;996309;-1.5555;-0.5015;9.418
1663765088;46796;1663765088;46820;1663765088;46747;-1.598;-0.4845;9.571
1663765088;96865;1663765088;96889;1663765088;96821;-1.5725;-0.4845;9.571
1663765088;146501;1663765088;146525;1663765088;146452;-1.4195;-0.459;9.6645
1663765088;196562;1663765088;196585;1663765088;196513;-1.2665;-0.3655;9.7155
1663765088;247115;1663765088;247140;1663765088;247071;-1.224;-0.3145;9.7155
1663765088;296637;1663765088;296667;1663765088;296572;-1.0455;-0.2635;9.6305
1663765088;346793;1663765088;346817;1663765088;346744;-1.0115;-0.2805;9.6815
1663765088;396878;1663765088;396902;1663765088;396835;-1.1135;-0.3315;9.6985
1663765088;446771;1663765088;446795;1663765088;446722;-1.241;-0.3315;9.7495
1663765088;496635;1663765088;496660;1663765088;496586;-1.309;-0.4165;9.9195
1663765088;547119;1663765088;547143;1663765088;547075;-1.1985;-0.3315;9.7665
1663765088;596373;1663765088;596403;1663765088;596309;-1.1815;-0.544;9.7495
1663765088;646879;1663765088;646904;1663765088;646830;-1.2665;-0.391;9.7665
1663765088;696887;1663765088;696911;1663765088;696842;-1.445;-0.459;9.639
1663765088;746532;1663765088;746556;1663765088;746483;-1.6235;-0.391;9.6135
1663765088;796585;1663765088;796609;1663765088;796536;-1.4705;-0.3995;9.4605
1663765088;847124;1663765088;847148;1663765088;847082;-1.2665;-0.3145;9.418
