,Unnamed: 0,Timestamp,IMULgtAcceleration,IMULatAcceleration,IMUVerAcceleration,IMURollRate,IMUYawRate,northHeading,groundSpeed,targetSpeed,throttle,brake,steeringAngle_FL,steeringAngle_FR,SteeringWhlAngle,location_x,location_y
10,10,125.443560980435,0.0004,-0.0676,9.81,0.000106087857,-0.004930103663,0.001582212280482,13.99996089097606,14.0,0.3848246099344545,0.0,0.0669259503483772,0.0669697523117065,0.0236587436164927,100.00617980957033,-1696.6673583984375
11,11,125.54356098192513,0.0005,-0.0702,9.81,4.291681e-05,-0.004960732069,0.0020716022700071,13.999967172861089,14.0,0.3848210821067255,0.0,0.0669259503483772,0.0669697523117065,0.0236587436164927,100.00955200195312,-1698.0672607421875
12,12,125.64356098341524,0.0005,-0.0696,9.81,1.1198604e-05,-0.004969653208,0.0025605692062526,13.999969307314972,14.0,0.3848208607238992,0.0,0.0669259503483772,0.0669697523117065,0.0236587436164927,100.01363372802734,-1699.46728515625
13,13,125.74356098490534,0.0005,-0.0734,9.81,-1.514738e-06,-0.004972264636,0.003088162979111,13.999961930710478,14.0,0.3848270372475107,0.0,0.108153335750103,0.1082677692174911,0.0382380254438149,100.01863098144533,-1700.8673095703125
14,14,125.84356098639546,0.0007,-0.0944,9.81,0.000518127636,-0.007141565904,0.003718641353771,13.999914204267329,14.0,0.3848615098076201,0.0,0.2249692678451538,0.2254649549722671,0.0795690991677917,100.02526092529295,-1702.267333984375
15,15,125.94356098788558,0.0011,-0.1673,9.8099,0.001811734168,-0.013909619302,0.0048705949448049,13.999697915643102,14.0,0.3850144829716007,0.0,0.4611214101314544,0.4632088243961334,0.1632196765786779,100.03512573242188,-1703.6673583984375
16,16,126.04356098937568,0.0026,-0.3311,9.8097,0.004116469529,-0.028254821897,0.0071845557540655,13.999264112665257,14.0,0.3853119698276069,0.0,0.7093974947929382,0.7143496870994568,0.2513051866994557,100.0501480102539,-1705.0672607421875
17,17,126.1435609908658,0.006,-0.5293,9.8093,0.005665573757,-0.045464102179,0.0111292283982038,13.998607887881498,14.0,0.385757181233045,0.0,0.9389415979385376,0.9476364850997924,0.3328736952123864,100.07245635986328,-1706.46728515625
18,18,126.24356099235592,0.0125,-0.7502,9.8085,0.006255150307,-0.062567107379,0.0167767610400915,13.997826778432234,14.0,0.3862839730225709,0.0,1.1172512769699097,1.129583477973938,0.3963220486464112,100.1039810180664,-1707.8673095703125
19,19,126.34356099384604,0.0223,-0.9465,9.8075,0.005862698425,-0.077009819448,0.0239636935293674,13.99692359915988,14.0,0.3869026919867159,0.0,1.281881332397461,1.2981412410736084,0.4549698352329863,100.1466064453125,-1709.265869140625
20,20,126.44356099533616,-0.1036,-1.148,9.8062,0.00536565017,-0.089953370392,0.0324987396597862,13.996113770724149,14.0,0.3874608647806402,0.0,1.3678056001663208,1.3863335847854614,0.4856051795786171,100.20177459716795,-1710.66455078125
