,Unnamed: 0,Timestamp,IMULgtAcceleration,IMULatAcceleration,IMUVerAcceleration,IMURollRate,IMUYawRate,northHeading,groundSpeed,targetSpeed,throttle,brake,steeringAngle_FL,steeringAngle_FR,SteeringWhlAngle,location_x,location_y
0,0,123.328672436357,0.0003,0.0,9.81,-1.91804e-07,7.507e-09,0.0003452669770922,14.00000000016728,14.0,0.3847962767799969,0.0,0.0,0.0,0.0,100.00031280517578,-1682.6673583984375
1,1,123.42867243784713,0.0003,0.0,9.81,2.25272e-07,7.547e-09,0.0003452669770922,13.999988661455577,14.0,0.3848044519876142,0.0,-0.0512279942631721,-0.0512023642659187,-0.018102448211058,100.00003051757812,-1684.0672607421875
2,2,123.52867243933724,0.0003,0.0293,9.81,-0.000648026413,0.002695340896,0.0,13.999978626936166,14.0,0.3848107911143791,0.0,-0.0512280017137527,-0.0512023717164993,-0.0181024508443106,99.9993667602539,-1685.46728515625
3,3,123.62867244082736,0.0003,0.0386,9.81,-0.000420567347,0.00348180905,6.28258752822876,13.999970377325075,14.0,0.3848161844663867,0.0,-0.0512280091643333,-0.0512023754417896,-0.0181024530386877,99.998291015625,-1686.8673095703125
4,4,123.72867244231747,0.0003,0.0426,9.81,-0.000226688775,0.003711035009,6.282339572906494,13.9999688806454,14.0,0.3848170606875161,0.0,0.0102445762604475,0.0102456025779247,0.0036208530310625,99.99707794189452,-1688.267333984375
5,5,123.8286724438076,0.0003,0.014,9.81,0.000665656931,0.000541625544,6.282149791717529,13.999940925382464,14.0,0.3848377202705528,0.0,0.143237680196762,0.1434384733438491,0.0506480303154733,99.99654388427734,-1689.6673583984375
6,6,123.9286724452977,0.0003,-0.0679,9.81,0.002138851676,-0.007372904569,6.28258752822876,13.999913400747928,14.0,0.3848560105727542,0.0,0.1976990699768066,0.1980817764997482,0.0699177054593611,99.99727630615234,-1691.0672607421875
7,7,124.02867244678782,0.0004,-0.1302,9.8099,0.00203799014,-0.012552302331,0.0005980199784971,13.99989613289766,14.0,0.3848675268136852,0.0,0.2011009901762008,0.2014970034360885,0.0711216109668579,99.99959564208984,-1692.46728515625
8,8,124.12867244827794,0.0006,-0.1642,9.8099,0.001213362091,-0.014250069857,0.0018593198619782,13.999884248501935,14.0,0.3848765498871685,0.0,0.2011010348796844,0.2014970332384109,0.0711216250108714,100.0037612915039,-1693.8673095703125
9,9,124.22867244976806,0.0009,-0.1888,9.8099,0.00062317081,-0.01474744454,0.0033474890515208,13.999875916316329,14.0,0.3848837997349243,0.0,0.2045027166604995,0.2049122601747512,0.072325474342314,100.00987243652344,-1695.267333984375
10,10,124.32867245125816,0.0013,-0.2018,9.8099,0.000327483489,-0.015071423724,0.0048337425105273,13.999872787187488,14.0,0.384887828375662,0.0,0.2045027166604995,0.2049122601747512,0.072325474342314,100.01807403564452,-1696.6673583984375
11,11,124.42867245274827,0.0016,-0.2157,9.8098,0.000133242851,-0.015166342258,0.0063476669602096,13.999874044420748,14.0,0.3848892804667052,0.0,0.2045027166604995,0.2049122601747512,0.072325474342314,100.0283660888672,-1698.0672607421875
12,12,124.5286724542384,0.002,-0.2152,9.8099,3.7279246e-05,-0.015194051899,0.0078733190894126,13.999876535813147,14.0,0.3848902549633164,0.0,0.2045027166604995,0.2049122601747512,0.072325474342314,100.04080200195312,-1699.46728515625
13,13,124.62867245572852,0.0023,-0.2202,9.8099,1.59144e-07,-0.015202221461,0.0093923117965459,13.999804074801352,14.0,0.3849453412399342,0.0,0.3302060067653656,0.331275075674057,0.1168303827789603,100.0560531616211,-1700.8673095703125
14,14,124.72867245721864,0.0035,-0.2902,9.8098,0.001576475915,-0.021794430912,0.011330921202898,13.999343297227014,14.0,0.3852744301986506,0.0,0.6852555274963379,0.6898753643035889,0.2427335564406496,100.07630920410156,-1702.267333984375
15,15,124.82867245870877,0.0077,-0.5119,9.8094,0.005483503453,-0.042252611369,0.0148345669731497,13.99738936778424,14.0,0.3866509263262826,0.0,1.39798903465271,1.4173494577407837,0.4963709552301001,100.10618591308594,-1703.6671142578125
16,16,124.92867246019888,0.0013,-0.9873,9.8078,0.012333569117,-0.085119664669,0.0218179188668727,13.993462286868478,14.0,0.3893417819979048,0.0,2.140190601348877,2.1858882904052734,0.76178942758741,100.15147399902344,-1705.0657958984375
17,17,125.02867246168898,-0.068,-1.5847,9.8037,0.016816072166,-0.136199846864,0.0336008667945861,13.987545850841602,14.0,0.3933521162584011,0.0,2.8200535774230957,2.8999083042144775,1.00609686853981,100.21819305419922,-1706.463134765625
18,18,125.1286724631791,-0.0117,-2.2067,9.7968,0.018389070407,-0.186756342649,0.0504486076533794,13.980406027246833,14.0,0.3981698226041773,0.0,3.3440918922424316,3.456936836242676,1.1951938654447485,100.31201171875,-1707.8580322265625
19,19,125.22867246466922,-0.0448,-2.7993,9.7877,0.017134506255,-0.229573190212,0.0718500763177871,13.972048287511669,14.0,0.4038932440285033,0.0,3.824826717376709,3.97311019897461,1.3692745817298968,100.43824768066406,-1709.2496337890625
20,20,125.32867246615932,-0.0238,-3.3559,9.7775,0.015604788437,-0.267780065536,0.0972314104437828,13.964382348777866,14.0,0.4091715978564888,0.0,4.074673652648926,4.24335241317749,1.4599805397639911,100.60103607177734,-1710.636474609375
21,21,125.42867246764943,-0.0186,-3.7959,9.7678,0.01199375093,-0.293392986059,0.1256326138973236,13.958390271629783,14.0,0.4134732622980547,0.0,4.166226387023926,4.342719554901123,1.4932585601854025,100.8030242919922,-1712.0174560546875
22,22,125.52867246913956,0.0353,-4.0835,9.7604,0.00789411366,-0.307006001472,0.1558359116315841,13.954434934079073,14.0,0.4165996572703781,0.0,4.166402816772461,4.3429107666015625,1.4933226570632945,101.04582977294922,-1713.3914794921875
23,23,125.62867247062968,0.07,-4.2657,9.7559,0.004404039588,-0.311937004328,0.1868510544300079,13.952128621100574,14.0,0.4188238415745815,0.0,4.166506767272949,4.343024253845215,1.4933605197238549,101.33037567138672,-1714.7569580078125
24,24,125.7286724721198,0.083,-4.3858,9.7531,0.002374933567,-0.313727647066,0.2181603759527206,13.951233405241544,14.0,0.4202439598853432,0.0,4.166550159454346,4.343070983886719,1.4933762490190432,101.65709686279295,-1716.1129150390625
25,25,125.82867247360991,0.0916,-4.4585,9.7514,0.001248651184,-0.314384073019,0.2495770752429962,13.95151120210245,14.0,0.4209782452695753,0.0,4.166541576385498,4.343062400817871,1.493373215512114,102.02606201171876,-1717.4578857421875
26,26,125.92867247510004,0.1338,-4.4893,9.7507,0.000621258048,-0.314633071423,0.2810337841510772,13.953493114522717,14.0,0.420595330873595,0.0,4.075160503387451,4.243879795074463,1.460157381982751,102.43667602539062,-1718.791015625
27,27,126.02867247659016,0.1563,-4.4568,9.7511,-0.000768496073,-0.310322523117,0.312228262424469,13.95739162735246,14.0,0.4189593389765894,0.0,3.888736724853515,4.042108535766602,1.3924616975274835,102.88765716552734,-1720.111328125
28,28,126.12867247808026,0.1316,-4.3673,9.7534,-0.002750934567,-0.299697220325,0.3425902724266052,13.96317746707812,14.0,0.4160723756572954,0.0,3.609405040740967,3.74119234085083,1.2911948659997603,103.37696838378906,-1721.41845703125
