,Unnamed: 0,Timestamp,IMULgtAcceleration,IMULatAcceleration,IMUVerAcceleration,IMURollRate,IMUYawRate,northHeading,groundSpeed,targetSpeed,throttle,brake,steeringAngle_FL,steeringAngle_FR,SteeringWhlAngle,location_x,location_y
0,0,130.8096271016111,0.0003,0.0,9.81,-1.91804e-07,7.507e-09,0.0003452669770922,14.00000000016728,14.0,0.3847962767799969,0.0,0.0,0.0,0.0,100.00031280517578,-1682.6673583984375
1,1,130.90962710310123,0.0003,0.0,9.81,2.25272e-07,7.547e-09,0.0003452669770922,14.00000000016728,14.0,0.3847962767764872,0.0,0.0,0.0,0.0,100.00031280517578,-1684.0672607421875
2,2,131.00962710459137,0.0003,0.0,9.81,2.2575e-07,7.537e-09,0.0003452669770922,13.9999889786746,14.0,0.3848042232691851,0.0,-0.0583141036331653,-0.0582808926701545,-0.0206059928777424,100.0,-1685.46728515625
3,3,131.10962710608146,0.0003,0.0319,9.81,-0.000737552473,0.003067625221,6.282840251922607,13.999979645489043,14.0,0.3848100817945438,0.0,-0.0583141185343265,-0.0582809075713157,-0.0206059981442475,99.9992446899414,-1686.8673095703125
4,4,131.20962710757158,0.0003,0.0456,9.81,-0.000478792877,0.003963035997,6.28258752822876,13.999978125176858,14.0,0.3848106720658238,0.0,0.0116614941507577,0.0116628231480717,0.0041216688086212,99.99840545654295,-1688.267333984375
5,5,131.3096271090617,0.0003,0.0089,9.81,0.000628117297,0.000540960464,6.282495021820068,13.999938989797132,14.0,0.3848391960146355,0.0,0.163019448518753,0.163279578089714,0.0576464747522038,99.99835968017578,-1689.6673583984375
6,6,131.4096271105518,0.0003,-0.08,9.81,0.002361325081,-0.008410166949,6.282840251922607,13.999899944935713,14.0,0.3848647150360388,0.0,0.2249857187271118,0.2254814803600311,0.0795749221669144,99.99979400634766,-1691.0672607421875
7,7,131.50962711204193,0.0005,-0.1525,9.81,0.002281508874,-0.014288929291,0.0010358010185882,13.999874635203708,14.0,0.384881160023083,0.0,0.2288561165332794,0.2293691337108612,0.0809448665357391,100.00303649902344,-1692.46728515625
8,8,131.60962711353204,0.0008,-0.1861,9.8099,0.001364442636,-0.016218468547,0.0025605692062526,13.999858295540728,14.0,0.3848930426076702,0.0,0.2288562059402465,0.2293691784143448,0.0809448928682645,100.00833892822266,-1693.8673095703125
9,9,131.70962711502216,0.0012,-0.2121,9.8098,0.000704759441,-0.016784550622,0.0042286426760256,13.999845652025554,14.0,0.3849035004095109,0.0,0.2327263057231903,0.2332568168640136,0.0823147652615197,100.01590728759766,-1695.267333984375
10,10,131.80962711651227,0.0017,-0.2338,9.8099,0.000372982555,-0.017153251916,0.005940206348896,13.999839461499832,14.0,0.3849099407345625,0.0,0.2327263355255127,0.233256846666336,0.0823147757945298,100.02584838867188,-1696.6673583984375
