,Unnamed: 0,Timestamp,IMULgtAcceleration,IMULatAcceleration,IMUVerAcceleration,IMURollRate,IMUYawRate,northHeading,groundSpeed,targetSpeed,throttle,brake,steeringAngle_FL,steeringAngle_FR,SteeringWhlAngle,location_x,location_y
0,0,123.7783611837076,0.0,0.0,9.81,-9.768e-09,2.108e-09,6.282840251922607,3.999999284744929,4.0,0.3804006666771364,0.0,0.0,0.0,0.0,100.0002899169922,-482.0882263183594
1,1,123.87836118519772,0.0,0.0,9.81,-1.23732e-07,2.205e-09,6.282840251922607,3.999998602794459,4.0,0.3804011733837796,0.0,-0.0576936565339565,-0.0576611459255218,-0.0203867912808303,100.00013732910156,-482.48822021484375
2,2,123.97836118668783,0.0,0.0159,9.81,-0.000206439581,0.001196492231,6.282840251922607,3.999999053560387,4.0,0.3804008095278165,0.0,-0.0576936639845371,-0.0576611533761024,-0.0203867939140829,99.99989318847656,-482.88824462890625
3,3,124.07836118817796,0.0,0.0091,9.81,-2.687211e-06,0.00122675451,6.282840251922607,4.000001662914626,4.0,0.3803989931352377,0.0,-0.0576936565339565,-0.0576611459255218,-0.0203867912808303,99.9996109008789,-483.2882385253906
4,4,124.17836118966808,0.0,0.0047,9.81,7.1704875e-05,0.001227563363,6.282840251922607,4.0000030450696356,4.0,0.3803982226156902,0.0,0.0115374308079481,0.0115387318655848,0.0040778179123411,99.99947357177734,-483.688232421875
5,5,124.27836119115818,0.0,-0.0151,9.81,0.000316423597,-0.000208227357,6.282840251922607,3.999994875604096,4.0,0.3804041870693701,0.0,0.1612876653671264,0.1615422964096069,0.0570337642840677,99.99976348876952,-484.0882263183594
6,6,124.3783611926483,0.0,-0.044,9.81,0.000580445922,-0.00335315452,6.282840251922607,3.9999943979493695,4.0,0.3804038221242011,0.0,0.2225969433784485,0.2230822294950485,0.0787294251519986,100.00043487548828,-484.48822021484375
7,7,124.47836119413842,0.0,-0.0395,9.81,0.000156134571,-0.004707353655,0.0003452669770922,4.000000817656411,4.0,0.3803992633930248,0.0,0.226426288485527,0.2269284278154373,0.0800848129007673,100.00132751464844,-484.88824462890625
8,8,124.57836119562852,0.0,-0.0225,9.81,-0.000252299447,-0.004821498413,0.0008457279764115,4.000007047865723,4.0,0.3803953962120279,0.0,0.226426288485527,0.2269284278154373,0.0800848129007673,100.00242614746094,-485.2882385253906
9,9,124.67836119711863,0.0001,-0.0228,9.81,-0.000308857067,-0.004824550357,0.0013372133253142,4.000010668290796,4.0,0.3803932609012943,0.0,0.2302553504705429,0.2307746261358261,0.0814401339404716,100.00373840332033,-485.688232421875
